signature,gene_symbol,group,temperature,genotype,n_samples,mean_logcpm,sd_logcpm,se_logcpm,z_across_groups
WT_heat_up,Idi2,cGASKO_37,37,cGASKO,5,2.92024896,0.275460266,0.123189576,-0.859662734
WT_heat_up,Idi2,cGASKO_39,39,cGASKO,5,4.94188608,0.132054924,0.0590567573,0.886408839
WT_heat_up,Fah,WT_37,37,WT,5,3.00071804,0.10309239,0.0461043185,-0.878422974
WT_heat_up,Fah,WT_39,39,WT,5,4.25331889,0.107365001,0.0480150882,0.812481385
WT_heat_up,Fah,cGASKO_37,37,cGASKO,5,3.02034912,0.160807272,0.0719151983,-0.851922682
WT_heat_up,Fah,cGASKO_39,39,cGASKO,5,4.33138521,0.121982253,0.054552122,0.917864271
WT_heat_up,Itga3,WT_37,37,WT,5,4.28945625,0.246760652,0.110354719,-0.776474535
WT_heat_up,Itga3,WT_39,39,WT,5,6.05735345,0.123682632,0.0553125544,0.944615851
WT_heat_up,Itga3,cGASKO_37,37,cGASKO,5,4.11388903,0.127060785,0.0568233105,-0.947393437
WT_heat_up,Itga3,cGASKO_39,39,cGASKO,5,5.88749249,0.164046412,0.0733637856,0.77925212
WT_heat_up,Ttc39c,WT_37,37,WT,5,3.90229619,0.118847441,0.0531501914,-0.909602922
WT_heat_up,Ttc39c,WT_39,39,WT,5,5.15220354,0.197175641,0.0881796275,0.908750873
WT_heat_up,Ttc39c,cGASKO_37,37,cGASKO,5,3.96376292,0.105383603,0.0471289802,-0.820181681
WT_heat_up,Ttc39c,cGASKO_39,39,cGASKO,5,5.09190817,0.0961394135,0.0429948528,0.82103373
WT_heat_up,Rpl10a-ps2,WT_37,37,WT,5,0.86565866,0.165400182,0.0739692101,-0.777414574
WT_heat_up,Rpl10a-ps2,WT_39,39,WT,5,2.90248608,0.25012405,0.111858876,0.894428294
WT_heat_up,Rpl10a-ps2,cGASKO_37,37,cGASKO,5,0.655649017,0.257973949,0.115369457,-0.949792028
WT_heat_up,Rpl10a-ps2,cGASKO_39,39,cGASKO,5,2.82737712,0.175525155,0.0784972357,0.832778308
WT_heat_up,Slc4a11,WT_37,37,WT,5,6.22996937,0.201816033,0.0902548738,-0.877147538
WT_heat_up,Slc4a11,WT_39,39,WT,5,7.56675989,0.122876639,0.0549521033,0.912916311
WT_heat_up,Slc4a11,cGASKO_37,37,cGASKO,5,6.24761793,0.0918132769,0.0410601457,-0.853514778
WT_heat_up,Slc4a11,cGASKO_39,39,cGASKO,5,7.49568825,0.0744149092,0.0332793591,0.817746005
WT_heat_up,Il17f,WT_37,37,WT,5,3.29267561,0.157252115,0.0703252839,-0.786195888
WT_heat_up,Il17f,WT_39,39,WT,5,4.90776077,0.118727946,0.0530967514,0.99554534
WT_heat_up,Il17f,cGASKO_37,37,cGASKO,5,3.16052643,0.203952298,0.0912102405,-0.93198117
WT_heat_up,Il17f,cGASKO_39,39,cGASKO,5,4.66037426,0.20402031,0.0912406563,0.722631718
WT_heat_up,Epcam,WT_37,37,WT,5,4.80689825,0.110995103,0.0496385189,-0.832457559
WT_heat_up,Epcam,WT_39,39,WT,5,5.93732553,0.171266623,0.0765927623,0.781957081
WT_heat_up,Epcam,cGASKO_37,37,cGASKO,5,4.7629987,0.0789740679,0.0353182769,-0.895152495
WT_heat_up,Epcam,cGASKO_39,39,cGASKO,5,6.05194683,0.113107352,0.0505831454,0.945652974
WT_heat_up,Klrc1,WT_37,37,WT,5,3.26565259,0.202757524,0.0906759212,-0.859050185
WT_heat_up,Klrc1,WT_39,39,WT,5,4.58653923,0.116157666,0.0519472876,0.892486643
WT_heat_up,Klrc1,cGASKO_37,37,cGASKO,5,3.25546198,0.128250533,0.0573553822,-0.872563242
WT_heat_up,Klrc1,cGASKO_39,39,cGASKO,5,4.54629895,0.130781079,0.0584870765,0.839126784
WT_heat_up,Adora2a,WT_37,37,WT,5,3.84696454,0.152033746,0.0679915583,-0.863360942
WT_heat_up,Adora2a,WT_39,39,WT,5,5.00230937,0.0571392257,0.0255534386,0.872872858
WT_heat_up,Adora2a,cGASKO_37,37,cGASKO,5,3.8434393,0.143260874,0.0640682106,-0.86865862
WT_heat_up,Adora2a,cGASKO_39,39,cGASKO,5,4.99317556,0.145584659,0.0651074387,0.859146704
WT_heat_up,B3gnt5,WT_37,37,WT,5,4.72327397,0.176783096,0.0790598039,-0.846561711
WT_heat_up,B3gnt5,WT_39,39,WT,5,5.81255202,0.0577910037,0.0258449226,0.841049697
