signature,gene_symbol,group,temperature,genotype,n_samples,mean_logcpm,sd_logcpm,se_logcpm,z_across_groups
WT_heat_up,Ildr1,WT_37,37,WT,5,1.06613646,0.175343575,0.0784160306,-0.71970474
WT_heat_up,Ildr1,WT_39,39,WT,5,2.44233905,0.0900050706,0.0402514912,0.910121687
WT_heat_up,Ildr1,cGASKO_37,37,cGASKO,5,0.829860729,0.201467051,0.0900988044,-0.999524319
WT_heat_up,Ildr1,cGASKO_39,39,cGASKO,5,2.35704398,0.161989433,0.0724438769,0.809107371
WT_heat_up,Scn9a,WT_37,37,WT,5,0.351758882,0.206871222,0.0925156228,-0.854975653
WT_heat_up,Scn9a,WT_39,39,WT,5,1.83273371,0.0657247946,0.0293930217,0.77881014
WT_heat_up,Scn9a,cGASKO_37,37,cGASKO,5,0.335562865,0.216514586,0.0968282663,-0.872842819
WT_heat_up,Scn9a,cGASKO_39,39,cGASKO,5,1.98701296,0.146390706,0.0654679142,0.949008331
WT_heat_up,Npr3,WT_37,37,WT,5,-0.378040354,0.188992985,0.0845202321,-0.990395259
WT_heat_up,Npr3,WT_39,39,WT,5,1.386962,0.231500415,0.103530133,0.893697354
WT_heat_up,Npr3,cGASKO_37,37,cGASKO,5,-0.135334693,0.16221277,0.072543756,-0.731313484
WT_heat_up,Npr3,cGASKO_39,39,cGASKO,5,1.32542793,0.294534434,0.131719803,0.828011389
WT_heat_up,Gm44851,WT_37,37,WT,5,1.98942849,0.200891806,0.0898415468,-0.780656574
WT_heat_up,Gm44851,WT_39,39,WT,5,3.18010311,0.0924035678,0.0413241318,0.982292189
WT_heat_up,Gm44851,cGASKO_37,37,cGASKO,5,1.88243484,0.118464535,0.0529789507,-0.939074603
WT_heat_up,Gm44851,cGASKO_39,39,cGASKO,5,3.01473217,0.159316373,0.0712484478,0.737438987
WT_heat_up,Syt15,WT_37,37,WT,5,0.17315589,0.269302794,0.120435871,-0.915039816
WT_heat_up,Syt15,WT_39,39,WT,5,1.80076621,0.225022991,0.100633341,0.828959963
WT_heat_up,Syt15,cGASKO_37,37,cGASKO,5,0.266694035,0.166260171,0.0743538087,-0.814812813
WT_heat_up,Syt15,cGASKO_39,39,cGASKO,5,1.86789834,0.17747383,0.0793687097,0.900892666
WT_heat_up,Tex15,WT_37,37,WT,5,2.93627471,0.159016032,0.0711141312,-0.713231996
WT_heat_up,Tex15,WT_39,39,WT,5,4.1510221,0.0886059107,0.0396257679,0.994282463
WT_heat_up,Tex15,cGASKO_37,37,cGASKO,5,2.73520693,0.189560514,0.0847740389,-0.995863711
WT_heat_up,Tex15,cGASKO_39,39,cGASKO,5,3.95220417,0.227976761,0.101954307,0.714813244
WT_heat_up,Fam160a1,WT_37,37,WT,5,0.883284678,0.353252303,0.157979232,-0.797472284
WT_heat_up,Fam160a1,WT_39,39,WT,5,2.36367721,0.0938286917,0.0419614666,0.911826112
WT_heat_up,Fam160a1,cGASKO_37,37,cGASKO,5,0.767901644,0.0692771645,0.0309816898,-0.930696433
WT_heat_up,Fam160a1,cGASKO_39,39,cGASKO,5,2.28098066,0.129744108,0.0580233291,0.816342605
WT_heat_up,Plxnb2,WT_37,37,WT,5,2.94594657,0.260909482,0.116682268,-0.846315639
WT_heat_up,Plxnb2,WT_39,39,WT,5,4.12449228,0.11577259,0.051775076,0.89216186
WT_heat_up,Plxnb2,cGASKO_37,37,cGASKO,5,2.91964448,0.0901103898,0.0402985914,-0.885113958
WT_heat_up,Plxnb2,cGASKO_39,39,cGASKO,5,4.08863439,0.161155259,0.0720708228,0.839267737
WT_heat_up,Bcam,WT_37,37,WT,5,2.05339978,0.202498346,0.0905600133,-0.784815396
WT_heat_up,Bcam,WT_39,39,WT,5,3.68052256,0.252718695,0.113019236,0.887261269
WT_heat_up,Bcam,cGASKO_37,37,cGASKO,5,1.89918104,0.0636812613,0.0284791258,-0.943294867
WT_heat_up,Bcam,cGASKO_39,39,cGASKO,5,3.63535808,0.32136599,0.14371924,0.840848993
WT_heat_up,Pak1,WT_37,37,WT,5,2.45623688,0.21725401,0.0971589468,-0.950985729
WT_heat_up,Pak1,WT_39,39,WT,5,3.7389867,0.22748189,0.101732994,0.912537735
WT_heat_up,Pak1,cGASKO_37,37,cGASKO,5,2.57725073,0.144197357,0.0644870184,-0.775182039
WT_heat_up,Pak1,cGASKO_39,39,cGASKO,5,3.67090393,0.145634826,0.065129874200000007,0.813630034
WT_heat_up,Nab2,WT_37,37,WT,5,5.21896,0.0813673562,0.0363885879,-0.832738872
WT_heat_up,Nab2,WT_39,39,WT,5,6.2726502,0.204889427,0.0916293375,0.854953842
WT_heat_up,Nab2,cGASKO_37,37,cGASKO,5,5.17782859,0.0365676029,0.0163535292,-0.898618935
WT_heat_up,Nab2,cGASKO_39,39,cGASKO,5,6.28604232,0.173350799,0.0775248341,0.876403964
WT_heat_up,Cdkn1a,WT_37,37,WT,5,6.19975164,0.221866485,0.0992217086,-0.87059001
WT_heat_up,Cdkn1a,WT_39,39,WT,5,7.30848239,0.156934751,0.0701833544,0.776078933
WT_heat_up,Cdkn1a,cGASKO_37,37,cGASKO,5,6.20891093,0.0586896209,0.0262467964,-0.856986783
WT_heat_up,Cdkn1a,cGASKO_39,39,cGASKO,5,7.42659499,0.0854383481,0.0382091909,0.95149786
WT_heat_up,Pxdc1,WT_37,37,WT,5,0.586867823,0.127152437,0.0568642986,-0.835098545
WT_heat_up,Pxdc1,WT_39,39,WT,5,2.17373617,0.216131626,0.0966570015,0.87746828
WT_heat_up,Pxdc1,cGASKO_37,37,cGASKO,5,0.530129495,0.273067699,0.122119587,-0.89633121
WT_heat_up,Pxdc1,cGASKO_39,39,cGASKO,5,2.15195471,0.247366045,0.110625458,0.853961474
WT_heat_up,Cd80,WT_37,37,WT,5,4.38510712,0.336260036,0.15038006,-0.863728129
WT_heat_up,Cd80,WT_39,39,WT,5,5.88147204,0.135225653,0.0604747503,0.807364271
WT_heat_up,Cd80,cGASKO_37,37,cGASKO,5,4.38271598,0.133376379,0.0596477302,-0.866398479
WT_heat_up,Cd80,cGASKO_39,39,cGASKO,5,5.98480421,0.0765942211,0.034253977,0.922762337
WT_heat_up,Pla1a,WT_37,37,WT,5,1.42955789,0.284918937,0.127419622,-0.823185146
WT_heat_up,Pla1a,WT_39,39,WT,5,2.87787801,0.223480589,0.0999435575,0.873682361
WT_heat_up,Pla1a,cGASKO_37,37,cGASKO,5,1.35734263,0.182899707,0.0817952355,-0.907793327
WT_heat_up,Pla1a,cGASKO_39,39,cGASKO,5,2.86389193,0.138258772,0.0618312026,0.857296112
WT_heat_up,Sphk1,WT_37,37,WT,5,3.27841817,0.264112921,0.118114889,-0.829427644
WT_heat_up,Sphk1,WT_39,39,WT,5,4.80217555,0.204160736,0.0913034567,0.886273858
WT_heat_up,Sphk1,cGASKO_37,37,cGASKO,5,3.21430054,0.173173877,0.0774457122,-0.901622021
WT_heat_up,Sphk1,cGASKO_39,39,cGASKO,5,4.7653201,0.180964175,0.0809296394,0.844775807
WT_heat_up,Dmwd,WT_37,37,WT,5,2.60849071,0.265330714,0.118659502,-0.847189051
WT_heat_up,Dmwd,WT_39,39,WT,5,3.6818842,0.119398933,0.0533968263,0.871715655
WT_heat_up,Dmwd,cGASKO_37,37,cGASKO,5,2.58510404,0.0615941927,0.0275457604,-0.88463987
WT_heat_up,Dmwd,cGASKO_39,39,cGASKO,5,3.67463893,0.102479418,0.0458301892,0.860113266
WT_heat_up,Epn2,WT_37,37,WT,5,1.53863124,0.258713017,0.115699979,-0.836690381
WT_heat_up,Epn2,WT_39,39,WT,5,2.82271276,0.103101193,0.0461082551,0.865350191
WT_heat_up,Epn2,cGASKO_37,37,cGASKO,5,1.49473716,0.100051433,0.0447443612,-0.894871659
WT_heat_up,Epn2,cGASKO_39,39,cGASKO,5,2.82336283,0.219362739,0.0981019991,0.866211849
WT_heat_up,Dagla,WT_37,37,WT,5,0.92270845,0.293922136,0.131445975,-0.877065788
WT_heat_up,Dagla,WT_39,39,WT,5,2.4507769,0.195277657,0.0873308229,0.852290182
WT_heat_up,Dagla,cGASKO_37,37,cGASKO,5,0.942377333,0.219800205,0.0982976402,-0.854805986
WT_heat_up,Dagla,cGASKO_39,39,cGASKO,5,2.47489174,0.187922048,0.0840412947,0.879581592
WT_heat_up,Gm36070,WT_37,37,WT,5,1.27810777,0.217740255,0.0973764022,-0.858835291
WT_heat_up,Gm36070,WT_39,39,WT,5,2.47563686,0.180162667,0.0805711941,0.823584535
WT_heat_up,Gm36070,cGASKO_37,37,cGASKO,5,1.26861276,0.109208577,0.0488395603,-0.872174923
WT_heat_up,Gm36070,cGASKO_39,39,cGASKO,5,2.53531412,0.0856386593,0.0382987727,0.907425679
WT_heat_up,Batf3,WT_37,37,WT,5,1.84751617,0.425538227,0.19030648,-0.778558625
WT_heat_up,Batf3,WT_39,39,WT,5,3.99458017,0.256147734,0.114552749,0.926693656
WT_heat_up,Batf3,cGASKO_37,37,cGASKO,5,1.63540068,0.0975126788,0.0436089957,-0.947026089
WT_heat_up,Batf3,cGASKO_39,39,cGASKO,5,3.83366536,0.32892115,0.14709801,0.798891058
WT_heat_up,Slc13a3,WT_37,37,WT,5,-0.0283762811,0.294871403,0.1318705,-0.840036388
WT_heat_up,Slc13a3,WT_39,39,WT,5,1.58239728,0.19333894,0.0864638025,0.877391618
WT_heat_up,Slc13a3,cGASKO_37,37,cGASKO,5,-0.0766942465,0.285441154,0.127653165,-0.89155364
WT_heat_up,Slc13a3,cGASKO_39,39,cGASKO,5,1.5606444,0.1322316,0.0591357695,0.85419841
WT_heat_up,Inhba,WT_37,37,WT,5,3.8847163,0.314044997,0.140445192,-0.821665789
WT_heat_up,Inhba,WT_39,39,WT,5,6.11917958,0.314034832,0.140440646,0.96903499
WT_heat_up,Inhba,cGASKO_37,37,cGASKO,5,3.7834333,0.285790776,0.12780952,-0.902834068
WT_heat_up,Inhba,cGASKO_39,39,cGASKO,5,5.85268358,0.321093254,0.143597268,0.755464867
WT_heat_up,Gprc5a,WT_37,37,WT,5,1.09872777,0.232691875,0.10406297,-0.727086207
WT_heat_up,Gprc5a,WT_39,39,WT,5,2.45375995,0.152701833,0.0682903359,0.92113772
WT_heat_up,Gprc5a,cGASKO_37,37,cGASKO,5,0.880463649,0.201546912,0.0901345191,-0.992576691
WT_heat_up,Gprc5a,cGASKO_39,39,cGASKO,5,2.35295815,0.211291806,0.0944925681,0.798525179
WT_heat_up,Tnfsf14,WT_37,37,WT,5,3.15157033,0.418085977,0.186973733,-0.882169981
WT_heat_up,Tnfsf14,WT_39,39,WT,5,5.18009464,0.279677824,0.125075725,0.854894235
WT_heat_up,Tnfsf14,cGASKO_37,37,cGASKO,5,3.18953731,0.190368555,0.085135406,-0.849658133
WT_heat_up,Tnfsf14,cGASKO_39,39,cGASKO,5,5.20583229,0.175434132,0.0784565288,0.876933879
WT_heat_up,Pla2g4c,WT_37,37,WT,5,1.87635499,0.261663388,0.117019425,-0.86825309
WT_heat_up,Pla2g4c,WT_39,39,WT,5,3.03626541,0.121900416,0.0545155233,0.888608708
WT_heat_up,Pla2g4c,cGASKO_37,37,cGASKO,5,1.87949568,0.105782182,0.0473072298,-0.863496027
WT_heat_up,Pla2g4c,cGASKO_39,39,cGASKO,5,3.00624646,0.169989533,0.0760216304,0.843140409
WT_heat_up,Gprin2,WT_37,37,WT,5,3.57992259,0.0762798532,0.0341133874,-0.900196389
WT_heat_up,Gprin2,WT_39,39,WT,5,4.9027397,0.244580288,0.10937963,0.83621342
WT_heat_up,Gprin2,cGASKO_37,37,cGASKO,5,3.63289368,0.113201071,0.0506250581,-0.830663333
WT_heat_up,Gprin2,cGASKO_39,39,cGASKO,5,4.94725455,0.266930163,0.119374798,0.894646301
WT_heat_up,Il9,WT_37,37,WT,5,1.59623877,0.492648312,0.220319023,-0.862898447
WT_heat_up,Il9,WT_39,39,WT,5,3.72363046,0.233510111,0.104428897,0.891648489
WT_heat_up,Il9,cGASKO_37,37,cGASKO,5,1.58912858,0.210454832,0.0941182623,-0.86876251
WT_heat_up,Il9,cGASKO_39,39,cGASKO,5,3.66102168,0.1965492,0.0878994744,0.840012467
WT_heat_up,Tnfrsf11b,WT_37,37,WT,5,0.813303026,0.0837583553,0.0374578752,-0.815504659
WT_heat_up,Tnfrsf11b,WT_39,39,WT,5,2.08590956,0.204945631,0.0916544727,0.985414338
WT_heat_up,Tnfrsf11b,cGASKO_37,37,cGASKO,5,0.749087155,0.247035264,0.110477529,-0.906379238
WT_heat_up,Tnfrsf11b,cGASKO_39,39,cGASKO,5,1.90999451,0.129620189,0.0579679108,0.736469559
WT_heat_up,Nr4a2,WT_37,37,WT,5,4.76542126,0.158981408,0.0710986473,-0.877253749
WT_heat_up,Nr4a2,WT_39,39,WT,5,5.87777458,0.188391365,0.0842511798,0.893547315
WT_heat_up,Nr4a2,cGASKO_37,37,cGASKO,5,4.77985561,0.151991381,0.0679726121,-0.854275118
WT_heat_up,Nr4a2,cGASKO_39,39,cGASKO,5,5.84287017,0.143983684,0.0643914609,0.837981551
WT_heat_up,Oaf,WT_37,37,WT,5,0.171640072,0.203631766,0.0910668944,-0.783415465
WT_heat_up,Oaf,WT_39,39,WT,5,1.52442476,0.255369163,0.114204562,0.946986167
WT_heat_up,Oaf,cGASKO_37,37,cGASKO,5,0.0485353979,0.0977219829,0.0437025993,-0.940883635
WT_heat_up,Oaf,cGASKO_39,39,cGASKO,5,1.39177847,0.144091556,0.0644397026,0.777312932
WT_heat_up,Ccl22,WT_37,37,WT,5,0.759299041,0.466574875,0.208658628,-0.923854317
WT_heat_up,Ccl22,WT_39,39,WT,5,2.79028966,0.0726080449,0.0324713048,0.88581365
WT_heat_up,Ccl22,cGASKO_37,37,cGASKO,5,0.891639489,0.395157896,0.176719984,-0.805935372
WT_heat_up,Ccl22,cGASKO_39,39,cGASKO,5,2.7433353,0.10574202,0.047289269,0.843976039
WT_heat_up,Egfr,WT_37,37,WT,5,0.215400564,0.237953865,0.106416204,-0.899324453
WT_heat_up,Egfr,WT_39,39,WT,5,1.60327784,0.164623702,0.0736219575,0.991410568
WT_heat_up,Egfr,cGASKO_37,37,cGASKO,5,0.272192451,0.121769156,0.054456822,-0.821955645
WT_heat_up,Egfr,cGASKO_39,39,cGASKO,5,1.41129596,0.237049884,0.106011931,0.72986953
WT_heat_up,Sh3pxd2b,WT_37,37,WT,5,0.43459967,0.195894992,0.0876069039,-0.825136042
WT_heat_up,Sh3pxd2b,WT_39,39,WT,5,1.75332435,0.135430735,0.0605664658,0.976353853
WT_heat_up,Sh3pxd2b,cGASKO_37,37,cGASKO,5,0.380862341,0.152082463,0.0680133453,-0.898545796
WT_heat_up,Sh3pxd2b,cGASKO_39,39,cGASKO,5,1.58567308,0.231398223,0.103484431,0.747327986
WT_heat_up,Serpine1,WT_37,37,WT,5,0.656800273,0.241728149,0.108104114,-0.664614694
WT_heat_up,Serpine1,WT_39,39,WT,5,2.04284579,0.145373547,0.0650130265,0.904520291
WT_heat_up,Serpine1,cGASKO_37,37,cGASKO,5,0.320816107,0.234359445,0.10480873,-1.04498064
WT_heat_up,Serpine1,cGASKO_39,39,cGASKO,5,1.95500399,0.187358303,0.0837891802,0.80507504
WT_heat_up,Gdf6,WT_37,37,WT,5,-0.704646203,0.0702820781,0.0314311009,-0.834687684
WT_heat_up,Gdf6,WT_39,39,WT,5,0.501902262,0.189145211,0.0845883098,0.959301066
WT_heat_up,Gdf6,cGASKO_37,37,cGASKO,5,-0.742885906,0.140589987,0.0628737537,-0.891545404
WT_heat_up,Gdf6,cGASKO_39,39,cGASKO,5,0.372524318,0.188856365,0.084459134,0.766932022
WT_heat_up,Dab2,WT_37,37,WT,5,2.67162187,0.227126181,0.101573916,-1.02007894
WT_heat_up,Dab2,WT_39,39,WT,5,3.71767739,0.107549449,0.048097576,0.867826206
WT_heat_up,Dab2,cGASKO_37,37,cGASKO,5,2.8507638,0.0771004944,0.0344803893,-0.696766312
WT_heat_up,Dab2,cGASKO_39,39,cGASKO,5,3.70725667,0.218141475,0.0975558332,0.849019046
WT_heat_up,Il2,WT_37,37,WT,5,-0.48485345,0.137584759,0.0615297747,-0.816961636
WT_heat_up,Il2,WT_39,39,WT,5,1.3567146,0.406199311,0.181657854,0.927979226
WT_heat_up,Il2,cGASKO_37,37,cGASKO,5,-0.584572654,0.200417284,0.0896293341,-0.911448567
WT_heat_up,Il2,cGASKO_39,39,cGASKO,5,1.22210329,0.375058554,0.167731284,0.800430978
WT_heat_up,Ccl4,WT_37,37,WT,5,3.63964201,0.576527678,0.257831016,-0.896891645
WT_heat_up,Ccl4,WT_39,39,WT,5,6.43630883,0.376709784,0.168469737,0.865225919
WT_heat_up,Ccl4,cGASKO_37,37,cGASKO,5,3.73850729,0.24299308,0.108669809,-0.83459883
WT_heat_up,Ccl4,cGASKO_39,39,cGASKO,5,6.43795726,0.343276301,0.153517829,0.866264556
WT_heat_up,Cd70,WT_37,37,WT,5,-0.129837584,0.241403111,0.107958753,-0.823653998
WT_heat_up,Cd70,WT_39,39,WT,5,1.31318165,0.195472579,0.087417995,1.01070043
WT_heat_up,Cd70,cGASKO_37,37,cGASKO,5,-0.185436423,0.286712607,0.128221776,-0.894330793
WT_heat_up,Cd70,cGASKO_39,39,cGASKO,5,1.0744953800000001,0.096183655,0.0430146382,0.707284364
WT_heat_up,F3,WT_37,37,WT,5,0.101539973,0.395696112,0.176960681,-0.931367195
WT_heat_up,F3,WT_39,39,WT,5,2.24849314,0.460030723,0.205731994,0.836316875
WT_heat_up,F3,cGASKO_37,37,cGASKO,5,0.263957969,0.133295298,0.0596114697,-0.797641081
WT_heat_up,F3,cGASKO_39,39,cGASKO,5,2.31696322,0.291448099,0.130339552,0.892691401
WT_heat_up,Adam8,WT_37,37,WT,5,1.45163784,0.319363129,0.142823533,-0.953789833
WT_heat_up,Adam8,WT_39,39,WT,5,2.79398053,0.217343875,0.0971991356,0.900586628
WT_heat_up,Adam8,cGASKO_37,37,cGASKO,5,1.58271412,0.112500771,0.0503118742,-0.772714789
WT_heat_up,Adam8,cGASKO_39,39,cGASKO,5,2.73992954,0.197379706,0.0882708879,0.825917995
WT_heat_up,Grp,WT_37,37,WT,5,-0.899384806,0.0740262701,0.0331055544,-0.860352319
WT_heat_up,Grp,WT_39,39,WT,5,0.114697338,0.0992898333,0.0444037634,0.723095609
WT_heat_up,Grp,cGASKO_37,37,cGASKO,5,-0.899642708,0.0934176038,0.0417776225,-0.860755022
WT_heat_up,Grp,cGASKO_39,39,cGASKO,5,0.290760931,0.166357075,0.0743971456,0.998011733
WT_heat_up,Uap1,WT_37,37,WT,5,6.33642389,0.274072039,0.122568742,-0.824515219
WT_heat_up,Uap1,WT_39,39,WT,5,7.38139817,0.0920387203,0.041160967,0.883075957
WT_heat_up,Uap1,cGASKO_37,37,cGASKO,5,6.28632096,0.0901289905,0.0403069099,-0.906388352
WT_heat_up,Uap1,cGASKO_39,39,cGASKO,5,7.35982766,0.0681932913,0.030496967,0.847827614
WT_heat_up,Hspa1a,WT_37,37,WT,5,0.897972263,0.173693883,0.077678266,-0.734565832
WT_heat_up,Hspa1a,WT_39,39,WT,5,2.30282733,0.225065182,0.100652209,0.94955852
WT_heat_up,Hspa1a,cGASKO_37,37,cGASKO,5,0.690109016,0.33335111,0.149079148,-0.98374994
WT_heat_up,Hspa1a,cGASKO_39,39,cGASKO,5,2.15200737,0.134498922,0.0601497463,0.768757251
WT_heat_up,Nr4a3,WT_37,37,WT,5,7.80430502,0.285768496,0.127799557,-0.868470011
WT_heat_up,Nr4a3,WT_39,39,WT,5,9.00516332,0.184789617,0.082640429,0.888383166
WT_heat_up,Nr4a3,cGASKO_37,37,cGASKO,5,7.80784949,0.0335150069,0.0149883667,-0.863284452
WT_heat_up,Nr4a3,cGASKO_39,39,cGASKO,5,8.97439645,0.092208874,0.0412370621,0.843371297
WT_heat_up,Mocos,WT_37,37,WT,5,1.39131758,0.25158938,0.112514191,-0.854957325
WT_heat_up,Mocos,WT_39,39,WT,5,2.70765369,0.272585228,0.12190382,0.900055512
WT_heat_up,Mocos,cGASKO_37,37,cGASKO,5,1.37527672,0.161053427,0.0720252824,-0.876343895
WT_heat_up,Mocos,cGASKO_39,39,cGASKO,5,2.65604333,0.172990687,0.0773637873,0.831245707
WT_heat_up,Igf2bp2,WT_37,37,WT,5,4.07946746,0.206119517,0.0921794501,-0.787155011
WT_heat_up,Igf2bp2,WT_39,39,WT,5,5.09669364,0.2026609,0.0906327096,0.804706998
WT_heat_up,Igf2bp2,cGASKO_37,37,cGASKO,5,3.98208469,0.0609926305,0.0272767336,-0.939549758
WT_heat_up,Igf2bp2,cGASKO_39,39,cGASKO,5,5.17164439,0.133461502,0.0596857982,0.921997771
WT_heat_up,Tgm1,WT_37,37,WT,5,0.798000005,0.3590752,0.160583311,-0.904740119
WT_heat_up,Tgm1,WT_39,39,WT,5,2.19421818,0.193852664,0.086693547,0.859145127
WT_heat_up,Tgm1,cGASKO_37,37,cGASKO,5,0.860010146,0.167268672,0.074804824,-0.826400807
WT_heat_up,Tgm1,cGASKO_39,39,cGASKO,5,2.20439024,0.163432215,0.0730891087,0.871995799
WT_heat_up,Ankrd33b,WT_37,37,WT,5,0.455117776,0.308863511,0.138127961,-0.731866208
WT_heat_up,Ankrd33b,WT_39,39,WT,5,1.83385636,0.234822111,0.105015641,0.738179795
WT_heat_up,Ankrd33b,cGASKO_37,37,cGASKO,5,0.219760185,0.153216479,0.0685204923,-0.982810435
WT_heat_up,Ankrd33b,cGASKO_39,39,cGASKO,5,2.05737107,0.156051131,0.0697881874,0.976496848
WT_heat_up,Ier3,WT_37,37,WT,5,1.70188875,0.300143894,0.13422843,-0.669072741
WT_heat_up,Ier3,WT_39,39,WT,5,2.95520542,0.205338706,0.091830261,0.817385622
WT_heat_up,Ier3,cGASKO_37,37,cGASKO,5,1.38750033,0.213483138,0.0954725618,-1.04194362
WT_heat_up,Ier3,cGASKO_39,39,cGASKO,5,3.01949197,0.0822314715,0.036775032,0.893630741
WT_heat_up,Il23a,WT_37,37,WT,5,-0.413454094,0.288323746,0.128942299,-0.872896683
WT_heat_up,Il23a,WT_39,39,WT,5,1.1943829,0.208796556,0.0933766584,0.840232519
WT_heat_up,Il23a,cGASKO_37,37,cGASKO,5,-0.40017419,0.275156066,0.123053534,-0.85874712
WT_heat_up,Il23a,cGASKO_39,39,cGASKO,5,1.24241612,0.302859179,0.135442742,0.891411285
WT_heat_up,Nppc,WT_37,37,WT,5,0.847352403,0.601396668,0.268952766,-0.795630721
WT_heat_up,Nppc,WT_39,39,WT,5,2.92771704,0.167902826,0.0750884264,0.908808966
WT_heat_up,Nppc,cGASKO_37,37,cGASKO,5,0.680228287,0.189929941,0.084939252,-0.932555264
WT_heat_up,Nppc,cGASKO_39,39,cGASKO,5,2.81856031,0.159762804,0.071448098,0.819377019
WT_heat_up,Adcy4,WT_37,37,WT,5,0.898798411,0.22833362200000001,0.1021139,-0.74113042
WT_heat_up,Adcy4,WT_39,39,WT,5,2.11348656,0.167325461,0.0748302209,0.953897296
WT_heat_up,Adcy4,cGASKO_37,37,cGASKO,5,0.729312352,0.230472711,0.10307053,-0.977638504
WT_heat_up,Adcy4,cGASKO_39,39,cGASKO,5,1.97802728,0.117495054,0.0525453856,0.764871628
WT_heat_up,Ccl20,WT_37,37,WT,5,4.65489781,0.173255972,0.077482426,-0.778975229
WT_heat_up,Ccl20,WT_39,39,WT,5,6.01920979,0.26936939,0.120465654,1.00516952
WT_heat_up,Ccl20,cGASKO_37,37,cGASKO,5,4.53414697,0.134694771,0.0602373328,-0.936884102
WT_heat_up,Ccl20,cGASKO_39,39,cGASKO,5,5.79402503,0.239137844,0.106945695,0.710689807
WT_heat_up,Mab21l3,WT_37,37,WT,5,3.73907595,0.186763707,0.0835232688,-0.95751964
WT_heat_up,Mab21l3,WT_39,39,WT,5,4.82277764,0.0975868293,0.0436421568,0.924601571
WT_heat_up,Mab21l3,cGASKO_37,37,cGASKO,5,3.84875452,0.24555215,0.10981426,-0.76703515
WT_heat_up,Mab21l3,cGASKO_39,39,cGASKO,5,4.75100669,0.15220776,0.0680693796,0.799953219
WT_heat_up,Fam71b,WT_37,37,WT,5,3.82652366,0.366419421,0.163867747,-0.898399206
WT_heat_up,Fam71b,WT_39,39,WT,5,5.2535089,0.18853057,0.0843134343,0.793219071
WT_heat_up,Fam71b,cGASKO_37,37,cGASKO,5,3.88416996,0.166974136,0.0746731037,-0.830062452
WT_heat_up,Fam71b,cGASKO_39,39,cGASKO,5,5.37331457,0.0331577969,0.0148286175,0.935242587
WT_heat_up,Gm12708,WT_37,37,WT,5,0.112244699,0.0867650962,0.0388025306,-0.861020296
WT_heat_up,Gm12708,WT_39,39,WT,5,1.13972856,0.121764625,0.0544547958,0.79648288
WT_heat_up,Gm12708,cGASKO_37,37,cGASKO,5,0.107709902,0.058817462,0.0263039687,-0.868335681
WT_heat_up,Gm12708,cGASKO_39,39,cGASKO,5,1.22427667,0.165901835,0.0741935562,0.932873098
WT_heat_up,Anxa3,WT_37,37,WT,5,3.8670472,0.210046224,0.0939355271,-0.89743087
WT_heat_up,Anxa3,WT_39,39,WT,5,4.86997831,0.172480991,0.0771358442,0.899659314
WT_heat_up,Anxa3,cGASKO_37,37,cGASKO,5,3.90281056,0.161583065,0.0722621435,-0.833348705
WT_heat_up,Anxa3,cGASKO_39,39,cGASKO,5,4.83172761,0.117687103,0.0526312725,0.831120261
WT_heat_up,Nr4a1,WT_37,37,WT,5,6.99904973,0.404014574,0.18068081,-0.891187176
WT_heat_up,Nr4a1,WT_39,39,WT,5,8.77480603,0.278009602,0.124329674,0.85948352
WT_heat_up,Nr4a1,cGASKO_37,37,cGASKO,5,7.05049459,0.0769707974,0.0344223871,-0.840469063
WT_heat_up,Nr4a1,cGASKO_39,39,cGASKO,5,8.78767706,0.240444425,0.107530016,0.872172718
WT_heat_up,Calca,WT_37,37,WT,5,2.78565181,0.0591652656,0.0264595112,-0.910253689
WT_heat_up,Calca,WT_39,39,WT,5,3.94915414,0.328435788,0.14688095,0.749970991
WT_heat_up,Calca,cGASKO_37,37,cGASKO,5,2.85366431,0.10930186,0.048881278,-0.813205298
WT_heat_up,Calca,cGASKO_39,39,cGASKO,5,4.10579713,0.200507729,0.0896697824,0.973487996
WT_heat_up,Eomes,WT_37,37,WT,5,1.68606711,0.275260704,0.123100329,-0.83855871
WT_heat_up,Eomes,WT_39,39,WT,5,2.91735481,0.153444467,0.0686224519,0.988665888
WT_heat_up,Eomes,cGASKO_37,37,cGASKO,5,1.65559107,0.221012336,0.0988397216,-0.883784994
WT_heat_up,Eomes,cGASKO_39,39,cGASKO,5,2.74552937,0.215686137,0.0964577727,0.733677815
WT_heat_up,Neo1,WT_37,37,WT,5,0.704310556,0.188939443,0.0844962875,-0.788236925
WT_heat_up,Neo1,WT_39,39,WT,5,1.71754988,0.119719754,0.0535403015,1.01676706
WT_heat_up,Neo1,cGASKO_37,37,cGASKO,5,0.626816976,0.102789439,0.0459688345,-0.926285476
WT_heat_up,Neo1,cGASKO_39,39,cGASKO,5,1.53847259,0.100077108,0.0447558435,0.697755345
WT_heat_up,Il1a,WT_37,37,WT,5,1.35627456,0.568905833,0.254422423,-0.86244429
WT_heat_up,Il1a,WT_39,39,WT,5,4.12942478,0.400677025,0.179188213,0.964316003
WT_heat_up,Il1a,cGASKO_37,37,cGASKO,5,1.35440358,0.393433773,0.175948932,-0.863676765
WT_heat_up,Il1a,cGASKO_39,39,cGASKO,5,3.82199895,0.365671891,0.163533441,0.761805052
WT_heat_up,Arhgef25,WT_37,37,WT,5,0.374662942,0.189943152,0.0849451598,-0.904084103
