"gene_symbol","ensembl","logFC","AveExpr","t","P.Value","adj.P.Val","contrast"
"Gja5","ENSMUSG00000057123.14",1.69766368,4.75423573,27.5532267,1.25263556e-22,2.46506151e-18,"KO_heat"
"Rbm3","ENSMUSG00000031167.16",-1.02271079,7.17539717,-25.6833746,9.2166864e-22,9.06875859e-18,"KO_heat"
"Galm","ENSMUSG00000035473.10",0.989823223,5.36387702,25.3096801,1.39551049e-21,9.15408366e-18,"KO_heat"
"Timp1","ENSMUSG00000001131.11",2.09998217,2.66864123,24.5255266,3.39479684e-21,1.67015517e-17,"KO_heat"
"Plek2","ENSMUSG00000021118.7",2.19100483,1.77815404,23.0566319,1.9284026e-20,4.21655942e-17,"KO_heat"
"Hsph1","ENSMUSG00000029657.15",1.12682752,7.38336961,25.0635228,1.9241388e-20,4.21655942e-17,"KO_heat"
"Cirbp","ENSMUSG00000045193.13",-1.0657001,5.87533316,-23.0586843,1.92359568e-20,4.21655942e-17,"KO_heat"
"Sgk3","ENSMUSG00000025915.14",-1.06512317,4.54435272,-23.4676628,1.17443067e-20,4.21655942e-17,"KO_heat"
"Serpinb6a","ENSMUSG00000060147.15",0.909131041,6.42971479,23.1203548,1.78477466e-20,4.21655942e-17,"KO_heat"
"Sdc1","ENSMUSG00000020592.14",1.44750084,3.40988543,22.1929025,5.61341409e-20,1.10466376e-16,"KO_heat"
"Rbm3-ps","ENSMUSG00000099875.1",-1.21733464,6.82378532,-24.8764705,6.70162971e-20,1.19892155e-16,"KO_heat"
"Cd40","ENSMUSG00000017652.16",-1.32494112,4.48298757,-21.4756652,1.40264831e-19,2.30022633e-16,"KO_heat"
"Sp100","ENSMUSG00000026222.16",-0.736437706,7.15706725,-21.1950165,2.02199675e-19,3.06083646e-16,"KO_heat"
"Zc3h6","ENSMUSG00000042851.17",-1.27484665,3.24750655,-20.9218371,2.89850455e-19,3.80264474e-16,"KO_heat"
"Abca1","ENSMUSG00000015243.4",-0.864228505,5.61469483,-20.9386591,2.8346e-19,3.80264474e-16,"KO_heat"
